Activity name,Description,Begin timestamp,Duration (h:m:s),Moving duration (h:m:s),Distance (km),Average speed (km/h or min/km),Average moving speed (km/h or min/km),Max. speed (km/h or min/km),Elevation loss uncorrected (m),Elevation gain uncorrected (m),Elevation min. uncorrected (m),Elevation max. uncorrected (m),Min. heart rate (bpm),Max. heart rate (bpm),Average heart rate (bpm),Calories,Avg. cadence (rpm),Max. cadence (rpm),Strokes,Avg. temp (°C),Min. temp (°C),Max. temp (°C),Map,End timestamp,Begin timestamp (ms),End timestamp (ms),Device,Activity type,Event type,Time zone,Begin latitude (°DD),Begin longitude (°DD),End latitude (°DD),End longitude (°DD),Elevation gain corrected (m),Elevation loss corrected (m),Elevation max. corrected (m),Elevation min. corrected (m),Sample count
"Chennai Cycling","","Sun, 18 Apr 2021 07:38",01:26:17,01:02:07,"16.92620","13.626000","16.349427","25.664400","","","","","","179","147","705","","","","","","","https://connect.garmin.com/modern/activity/6627898536","Sun, 18 Apr 2021 09:05","1618711732000","1618716909000","Forerunner 235 8.20.0.0","cycling","uncategorized","+05:30","13.022001","80.241837","13.021345","80.242099","19.85","17.66","16.15","3.12",""
"Chennai Cycling","","Thu, 15 Apr 2021 12:51",01:48:27,01:19:26,"22.55921","13.906799","17.040108","28.753199","","","","","","194","168","1161","","","","","","","https://connect.garmin.com/modern/activity/6609708621","Thu, 15 Apr 2021 14:39","1618471291000","1618477798000","Forerunner 235 8.20.0.0","cycling","uncategorized","+05:30","13.018524","80.241018","13.022508","80.239908","21.31","24.31","13.99","3.0",""
"Chennai Running","","Sun, 11 Apr 2021 09:03",00:43:05,00:13:45,"2.42559","5.779010","5.668723","2.694255","","","","","","181","147","143","","","","","","","https://connect.garmin.com/modern/activity/6585877044","Sun, 11 Apr 2021 09:46","1618111989000","1618114574000","Forerunner 235 8.20.0.0","running","uncategorized","+05:30","13.022962","80.239988","13.022422","80.241070","9.15","5.64","13.0","7.16",""
"Chennai Running","","Thu, 08 Apr 2021 08:47",00:37:02,00:07:20,"0.85197","9.639483","8.607502","2.437003","","","","","","170","134","73","","","","","","","https://connect.garmin.com/modern/activity/6574249070","Thu, 08 Apr 2021 09:24","1617851829000","1617854051000","Forerunner 235 8.20.0.0","running","uncategorized","+05:30","13.022803","80.240497","13.022109","80.240097","182.78","184.15","9.44","-135.2",""
"Chennai Running","","Sat, 03 Apr 2021 18:22",00:26:29,00:13:50,"1.89615","7.500750","7.295484","5.705808","","","","","","181","163","163","","","","","","","https://connect.garmin.com/modern/activity/6543179957","Sat, 03 Apr 2021 18:48","1617454338000","1617455927000","Forerunner 235 8.20.0.0","running","uncategorized","+05:30","13.023095","80.241056","13.022791","80.240509","4.95","3.65","13.16","8.06",""
"Running","","Thu, 01 Apr 2021 08:59",00:28:40,00:07:56,"1.11025","7.839448","7.145537","3.579610","","","","","","183","149","91","","","","","","","https://connect.garmin.com/modern/activity/6528660679","Thu, 01 Apr 2021 09:28","1617247791000","1617249511000","Forerunner 235 8.20.0.0","running","uncategorized","+05:30","","","","","","","","",""
"Chennai Other","","Tue, 09 Mar 2021 12:25",02:02:54,02:00:01,"12.82907","6.411600","6.413371","10.043999","","","","","","188","166","1385","","","","","","","https://connect.garmin.com/modern/activity/6419693056","Tue, 09 Mar 2021 14:28","1615272958000","1615280332000","Forerunner 235 8.20.0.0","other","uncategorized","+05:30","13.020594","80.241704","13.018843","80.241323","95.34","94.46","16.82","-0.8",""
"Chennai Other","","Sat, 06 Mar 2021 05:42",02:00:00,01:42:34,"20.58169","10.288800","12.039987","12.160800","","","","","","194","172","1467","","","","","","","https://connect.garmin.com/modern/activity/6380586295","Sat, 06 Mar 2021 07:42","1614989522000","1614996722000","Forerunner 235 8.20.0.0","other","uncategorized","+05:30","13.033753","80.257993","13.020843","80.241868","12624.79","12623.92","4900.8","-500.0",""
"Chennai Running","","Sat, 20 Feb 2021 13:54",01:00:58,00:56:23,"6.23274","9.107467","9.048366","4.828119","","","","","","186","165","722","","","","","","","https://connect.garmin.com/modern/activity/6380585521","Sat, 20 Feb 2021 14:55","1613809444000","1613813102000","Forerunner 235 8.20.0.0","running","uncategorized","+05:30","13.025951","80.243716","13.039490","80.281408","44.42","48.0","43.2","-4.8",""
"Adyar river trail","","Sat, 02 Jan 2021 16:44",01:52:25,01:15:27,"21.90987","13.859999","17.423355","29.055600","","","","","","198","168","1201","","","","","","","https://connect.garmin.com/modern/activity/6042300606","Sat, 02 Jan 2021 18:36","1609586064000","1609592809000","Forerunner 235 8.20.0.0","cycling","uncategorized","+05:30","13.022567","80.242129","13.022579","80.242315","80.44","80.44","25.07","",""
